scope,rounds,games,share
overall,7,72,0.00072
overall,8,1527,0.01527
overall,9,7208,0.07208
overall,10,18213,0.18213
overall,11,28879,0.28879
overall,12,31859,0.31859
overall,13,11891,0.11891
overall,14,350,0.0035
overall,15,1,0.00001
random,7,25,0.0005
random,8,711,0.01422
random,9,3585,0.0717
random,10,9003,0.18006
random,11,14635,0.2927
random,12,16179,0.32358
random,13,5713,0.11426
random,14,148,0.00296
random,15,1,0.00002
heuristic,7,47,0.00094
heuristic,8,816,0.01632
heuristic,9,3623,0.07246
heuristic,10,9210,0.1842
heuristic,11,14244,0.28488
heuristic,12,15680,0.3136
heuristic,13,6178,0.12356
heuristic,14,202,0.00404
