scope,id,name,spirit,styles,price,deck_copies,deck_games,deck_inclusion_rate,average_copies_when_included,drawn,selected,pick_rate_when_drawn,selection_share,selected_side_win_rate,served,service_share,served_win_rate,flags
overall,d1,Golden Lager,Beer,Cheap,8,114798,70740,0.3537,1.622815945716709,302233,69326,0.2293793199286643,0.010323770822592745,0.49444652799815364,18221,0.008140211240737778,0.5414631469183908,underused
overall,d2,Citrus Shandy,Beer,Cheap|Fruity,10,114423,70400,0.352,1.6253267045454545,301543,99851,0.33113353651054744,0.014869440619777692,0.5118526604640915,36014,0.01608921396322542,0.6009885044704837,
overall,d3,Midnight Stout,Beer,Bitter|Strong,14,114190,70341,0.351705,1.6233775465233649,300324,118089,0.3932053382347065,0.01758537594364531,0.5071937267654058,40370,0.018035252060182434,0.5616794649492197,
overall,d4,Spiced Saison,Beer,Spicy|Fresh,14,371647,156325,0.781625,2.377399648168879,970387,355863,0.3667227611252006,0.052993798232125355,0.48038430519610076,130115,0.05812872979466528,0.4388271913307459,dominant-selection|high-inclusion
overall,d5,Velvet Porter,Beer,Creamy|Bitter,16,114184,70248,0.35124,1.6254412937023117,300629,138610,0.4610666302984742,0.020641287160943666,0.5247384748575139,52511,0.023459230144469653,0.5156443411856564,
overall,d6,Cellar Reserve Ale,Beer,Premium|Savory,20,114375,70541,0.352705,1.6213974851504798,301067,195772,0.6502605732278861,0.02915364021407015,0.4658224873832826,63408,0.0283274526289831,0.3816553116326016,
overall,d7,Clean Cut Martini,Vodka,Clean,16,114290,70455,0.352275,1.6221701795472288,299697,163207,0.5445733524192768,0.024304181182282177,0.43290422592168226,36364,0.016245576069271093,0.3248817511824882,
overall,d8,Market Mule,Vodka,Fresh|Spicy,14,157185,84772,0.42386,1.8542089369131316,411519,166754,0.40521579805549685,0.02483238726813361,0.4487868356980942,45414,0.020288653382737803,0.3557052891178932,
overall,d9,Neon Cosmo,Vodka,Fruity|Sour,14,114115,70161,0.350805,1.6264733969014125,299051,103364,0.34564004133074294,0.015392583551719075,0.47558144034673583,33131,0.014801236958283484,0.5500588572635899,
overall,d10,Vanilla White Russian,Vodka,Creamy|Sweet,16,114422,70507,0.352535,1.6228459585573063,300076,111244,0.37071941774750394,0.01656604392851899,0.48902412714393584,36226,0.016183924724601655,0.5409098437586264,
overall,d11,Pepper Lemon Drop,Vodka,Cheap|Sour,12,114388,70453,0.352265,1.6236072275133777,300187,65945,0.2196797329664509,0.009820284841125676,0.5180377587383426,22284,0.009955351917490843,0.5758391671154192,underused
overall,d12,Diamond Vodka Tonic,Vodka,Premium|Clean,20,114421,70592,0.35296,1.6208777198549411,299584,193264,0.6451078829309976,0.028780158155058196,0.5018420399039656,79889,0.03569032082823667,0.49492420733768105,
overall,d13,Old Fashioned,Whiskey,Bitter|Strong,18,114449,70384,0.35192,1.6260655830870652,296173,152480,0.5148342353962042,0.02270675612366128,0.48548662119622243,41032,0.018330999815045965,0.4468707350360694,
overall,d14,Whiskey Sour,Whiskey,Sour|Fresh,16,114176,70238,0.35119,1.6255588143170363,295320,132420,0.44839496139780577,0.01971949531673155,0.4573176257362936,31807,0.01420974144855642,0.40217562171848964,
overall,d15,Honey Highball,Whiskey,Sweet|Clean,14,114426,70477,0.352385,1.623593512777218,296237,116590,0.39357001319889146,0.017362150422728678,0.4762929925379535,30234,0.01350700546909972,0.334854799232652,
overall,d16,Smoked Manhattan,Whiskey,Premium|Bitter,22,114593,70422,0.35211,1.627232966970549,295972,166981,0.5641783682240212,0.02486619126629777,0.5569495930674747,68667,0.030676904959537954,0.5953369158402144,
overall,d17,Straight Rye,Whiskey,Strong,18,114490,70709,0.353545,1.619171534033857,295829,151103,0.5107781860466688,0.022501698390304237,0.46328001429488497,39112,0.017473241976166842,0.4219932501534056,
overall,d18,Bourbon Flip,Whiskey,Creamy|Sweet,18,114665,70595,0.352975,1.6242651745874355,296051,126603,0.4276391567669084,0.018853249249238518,0.4950119665410772,41761,0.018656679744495384,0.5709633390005029,
overall,d19,Midnight Mojito,Rum,Fresh|Sweet,14,114260,70264,0.35132,1.6261527951724923,298421,117022,0.39213728256389463,0.01742648226064461,0.4855497256926048,33189,0.014827148392999624,0.41830124438820093,
overall,d20,Spiced Daiquiri,Rum,Sour|Spicy,14,114330,70291,0.351455,1.6265240215674837,298517,112259,0.37605563502246103,0.01671719396436314,0.48557353976073186,33130,0.014800790209409068,0.43033504376697856,
overall,d21,Tropical Fizz,Rum,Fruity,12,113489,69886,0.34943,1.6239160919211286,296357,76972,0.2597272883717948,0.011462384787188196,0.5034947773216234,26331,0.01176334461225325,0.5631764839922525,underused
overall,d22,Blackstrap Old Fashioned,Rum,Bitter|Strong,18,113870,70035,0.350175,1.6259013350467624,297150,165914,0.5583510011778563,0.024707297583297073,0.4832202225249225,49069,0.021921520518729053,0.4633679104933869,
overall,d23,Coconut Cream Punch,Rum,Creamy|Sweet,16,114727,70659,0.353295,1.6236714360520246,299234,106065,0.3544550418735839,0.015794806454985138,0.52956206100033,37774,0.01687549198219795,0.6582570021708053,
overall,d24,Admiral's Reserve,Rum,Premium|Savory,22,114048,70210,0.35105,1.6243839908844895,297580,192426,0.6466361986692654,0.0286553663028046,0.5134805067922215,64098,0.028635709352330285,0.517036412992605,
overall,d25,Garden Gimlet,Gin,Fresh|Sour,14,113938,70185,0.350925,1.623395312388687,297089,101625,0.342069211583061,0.015133618120849145,0.48354243542435427,26423,0.011804445508699541,0.4649736971577792,
overall,d26,Bitter Bloom,Gin,Bitter|Fresh,16,114475,70340,0.3517,1.627452374182542,298568,143509,0.48065767262399184,0.021370828072865337,0.5035990774097792,43112,0.019260237473831685,0.5094405269994433,
overall,d27,Bramble Night,Gin,Fruity|Sweet,16,113814,69966,0.34983,1.6267043992796502,296963,128981,0.4343335701754091,0.0192073721903591,0.5026709360293377,45885,0.020499072102587838,0.4725945298027678,
overall,d28,Savory Gibson,Gin,Savory,18,113928,70239,0.351195,1.6220048690898219,297186,168048,0.5654640528154086,0.02502508494929847,0.45978529943825575,42300,0.01889747738780572,0.3809456264775414,
overall,d29,Pepper Negroni,Gin,Bitter|Spicy,18,114379,70389,0.351945,1.6249556038585575,298158,172712,0.5792633435963482,0.025719630532724205,0.5214982166844226,62528,0.027934313619496835,0.5269639201637666,
overall,d30,Crystal Gin Fizz,Gin,Premium|Clean,20,371452,156238,0.78119,2.3774753901099603,970548,428470,0.441472240424997,0.06380616340703796,0.5364739655051696,184066,0.08223127831829427,0.5543880999206806,dominant-selection|high-inclusion
overall,d31,Sunset Paloma,Tequila,Fruity|Sour,14,113992,70251,0.351255,1.6226388236466385,298067,100854,0.3383601673449258,0.015018803660124178,0.49504233842980944,30323,0.013546766118922764,0.4342578240939221,
overall,d32,Desert Margarita,Tequila,Sour|Strong,16,114090,70465,0.352325,1.6191016816859434,298097,134489,0.45115851551676134,0.020027603123787263,0.5025987255463272,43590,0.019473783435802635,0.5490479467767837,
overall,d33,Spiced Ranch Water,Tequila,Spicy|Clean,14,371773,156360,0.7818,2.377673317984139,970724,281786,0.2902843650718433,0.0419625261087488,0.5199264690225917,111715,0.049908550505407004,0.5595040952423578,high-inclusion
overall,d34,Agave Cream Flip,Tequila,Creamy|Sweet,16,114116,70248,0.35124,1.6244732946133698,297627,108030,0.36297110141217026,0.016087426967727754,0.48148662408590204,29719,0.013276929798775372,0.5204078199131869,
overall,d35,Bitter Cactus,Tequila,Bitter|Fresh,16,114583,70585,0.352925,1.6233335694552666,299334,165142,0.5516981031222647,0.024592334206280635,0.49178282932264356,51263,0.02290168754919822,0.4169088816495328,
overall,d36,Platinum Añejo,Tequila,Premium,22,114358,70406,0.35203,1.6242649774166975,298633,187278,0.6271175657077416,0.027888745234306383,0.5197674046070547,60043,0.026824142666572553,0.4901154172842796,
overall,d37,Velvet Merlot,Wine,Fruity|Savory,16,242824,113317,0.566585,2.142873531773697,635720,255425,0.4017885232492292,0.03803694374925356,0.539066262112166,94569,0.042248594304666647,0.5725026171366938,
overall,d38,City Spritz,Wine,Fresh|Clean,14,371530,156077,0.780385,2.3804276094491823,970571,367496,0.3786389661343683,0.05472614145081995,0.495080218560202,133341,0.05956994166353198,0.4721503513547971,dominant-selection|high-inclusion
